0	Match	0.01020408163265306	0.07142857142857142	0.01020408163265306	0.01020408163265306	0.01020408163265306	0.030612244897959183	0.07142857142857142	0.3163265306122449	0.15306122448979592	0.3163265306122449
1	1,05-10-2023,2:00	0.10714285714285714	0.25	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.10714285714285714	0.03571428571428571	0.10714285714285714	0.17857142857142858
2	2,06-10-2023,2:00	0.038461538461538464	0.11538461538461539	0.19230769230769232	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.4230769230769231	0.038461538461538464	0.038461538461538464
3	3,07-10-2023,2:00	0.03571428571428571	0.25	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.03571428571428571	0.17857142857142858	0.03571428571428571	0.25	0.03571428571428571
4	4,07-10-2023,2:00	0.029411764705882353	0.08823529411764706	0.029411764705882353	0.5588235294117647	0.029411764705882353	0.029411764705882353	0.14705882352941177	0.029411764705882353	0.029411764705882353	0.029411764705882353
5	5,08-10-2023,2:00	0.39285714285714285	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.10714285714285714	0.10714285714285714	0.10714285714285714	0.03571428571428571
6	6,09-10-2023,2:00	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.3	0.16666666666666666	0.1	0.23333333333333334	0.03333333333333333	0.03333333333333333
7	7,10-10-2023,10:30	0.038461538461538464	0.11538461538461539	0.19230769230769232	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.2692307692307692	0.19230769230769232
8	8,10-10-2023,2:00	0.20588235294117646	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.20588235294117646	0.029411764705882353	0.029411764705882353	0.14705882352941177	0.08823529411764706	0.20588235294117646
9	9,11-10-2023,2:00	0.03571428571428571	0.25	0.10714285714285714	0.17857142857142858	0.17857142857142858	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.03571428571428571	0.03571428571428571
10	10,12-10-2023,2:00	0.029411764705882353	0.029411764705882353	0.20588235294117646	0.38235294117647056	0.029411764705882353	0.08823529411764706	0.14705882352941177	0.029411764705882353	0.029411764705882353	0.029411764705882353
11	11,13-10-2023,2:00	0.32142857142857145	0.10714285714285714	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.17857142857142858	0.03571428571428571	0.03571428571428571	0.17857142857142858
12	12,14-10-2023,2:00	0.03571428571428571	0.17857142857142858	0.03571428571428571	0.03571428571428571	0.25	0.17857142857142858	0.03571428571428571	0.03571428571428571	0.17857142857142858	0.03571428571428571
13	13,15-10-2023,2:00	0.038461538461538464	0.19230769230769232	0.19230769230769232	0.038461538461538464	0.038461538461538464	0.11538461538461539	0.038461538461538464	0.038461538461538464	0.2692307692307692	0.038461538461538464
14	14,16-10-2023,2:00	0.2647058823529412	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.2647058823529412	0.08823529411764706	0.029411764705882353	0.029411764705882353	0.20588235294117646
15	15,17-10-2023,2:00	0.03571428571428571	0.10714285714285714	0.39285714285714285	0.17857142857142858	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.03571428571428571
16	16,18-10-2023,2:00	0.03571428571428571	0.32142857142857145	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.32142857142857145	0.10714285714285714	0.03571428571428571	0.03571428571428571
17	17,19-10-2023,2:00	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.23333333333333334	0.23333333333333334	0.03333333333333333	0.1	0.23333333333333334	0.03333333333333333
18	18,20-10-2023,2:00	0.10714285714285714	0.03571428571428571	0.10714285714285714	0.10714285714285714	0.03571428571428571	0.10714285714285714	0.39285714285714285	0.03571428571428571	0.03571428571428571	0.03571428571428571
19	19,21-10-2023,10:30	0.029411764705882353	0.029411764705882353	0.2647058823529412	0.029411764705882353	0.029411764705882353	0.08823529411764706	0.2647058823529412	0.20588235294117646	0.029411764705882353	0.029411764705882353
20	20,21-10-2023,2:00	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.5	0.03333333333333333	0.1	0.03333333333333333	0.03333333333333333	0.16666666666666666	0.03333333333333333
21	21,22-10-2023,2:00	0.038461538461538464	0.038461538461538464	0.2692307692307692	0.038461538461538464	0.4230769230769231	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
22	22,23-10-2023,2:00	0.39285714285714285	0.10714285714285714	0.03571428571428571	0.10714285714285714	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.17857142857142858	0.03571428571428571	0.03571428571428571
23	23,24-10-2023,2:00	0.03125	0.03125	0.28125	0.34375	0.03125	0.03125	0.03125	0.15625	0.03125	0.03125
24	24,25-10-2023,2:00	0.038461538461538464	0.19230769230769232	0.038461538461538464	0.038461538461538464	0.11538461538461539	0.2692307692307692	0.038461538461538464	0.038461538461538464	0.11538461538461539	0.11538461538461539
25	25,26-10-2023,2:00	0.15625	0.03125	0.03125	0.21875	0.03125	0.03125	0.34375	0.03125	0.03125	0.09375
26	26,27-10-2023,2:00	0.28125	0.03125	0.03125	0.21875	0.03125	0.03125	0.15625	0.15625	0.03125	0.03125
27	27,28-10-2023,10:30	0.041666666666666664	0.125	0.041666666666666664	0.041666666666666664	0.2916666666666667	0.125	0.125	0.041666666666666664	0.041666666666666664	0.125
